gene,baseMean_all,baseMean_LG3-LG6-LG9,baseMean_LG2-LG5-LG8,foldChange,log2FoldChange,pval,padj
NT5C3L,409.511087330412,579.514061111788,239.508113549036,0.413291289411587,-1.27476913730879,0.00240959688993901,0.299323959117822
CRYM,20.9537178714413,7.89513602388396,34.0122997189986,4.30800680521606,2.10702052886163,0.00244348525509245,0.301818746508962
OAS3,4895.66676633194,416.889842676117,9374.44368998776,22.486620517811,4.4909949517102,0.00249813702057233,0.306835784723443
TMEM26,62.0270772982702,30.755286588266,93.2988680082744,3.03358798951561,1.60102515748813,0.0025589528424806,0.311183024949223
GCET2,54.8717324229518,27.3855456810305,82.3579191648731,3.00734994015185,1.58849275203149,0.0025735201909477,0.311183024949223
C14orf105,221.727600361666,126.152990735413,317.302209987918,2.51521750010201,1.330683160568,0.00259132895971777,0.311183024949223
C1orf94,4.86551692405749,0.336755106672708,9.39427874144227,27.8964700320716,4.80201067251819,0.00259307409133692,0.311183024949223
B3GNT3,410.186379052126,222.121581374654,598.251176729599,2.69335006993547,1.4294017572576,0.00260469713972043,0.311183024949223
FER1L5,38.3198563951532,18.0839347259098,58.5557780643966,3.23799985743704,1.69510292212137,0.00262995890750428,0.31249343258025
MX1,5037.99646269817,478.72479974211,9597.26812565423,20.0475683123671,4.32535534920125,0.00266293282580991,0.314567388893552
DNM1P35,26.4350292023536,11.0162460498041,41.8538123549032,3.79928082267621,1.92572635230539,0.0026761896507433,0.314567388893552
EPAS1,3421.67854997358,4779.86524531092,2063.49185463624,0.431705026969231,-1.21188220259447,0.0027253231380853,0.318276346874538
LOC100507319,298.286104181099,419.248260813797,177.323947548401,0.422956906736357,-1.24141741405936,0.00273685922391314,0.318276346874538
MUC5AC,5.15134413253634,0,10.3026882650727,Inf,Inf,0.00293424041950955,0.337005555008031
SP140,9.51170787912922,2.30919708502024,16.7142186732382,7.23810833716329,2.8556127015649,0.00295656290195526,0.337005555008031
LOC100506867,57.2758052893941,29.6655778982216,84.8860326805667,2.8614319590132,1.51673730195544,0.00296203638343049,0.337005555008031
ETNK2,437.928193843753,613.394607480559,262.461780206946,0.427884068438382,-1.22470813130999,0.00296583645824483,0.337005555008031
MIR600HG,45.1908984090278,68.0600975726348,22.3216992454208,0.327970426748194,-1.60836236268802,0.00297612732620378,0.337005555008031
RAVER1,819.486853923956,1147.77210710415,491.201600743765,0.427960914630586,-1.22444905256818,0.00300195113718721,0.337005555008031
CASP1,66.2245212551603,35.1153787276244,97.3336637826961,2.77182440598671,1.47083586619225,0.00301783928067306,0.337005555008031
C6orf141,74.6036771243202,40.5397478034679,108.667606445173,2.68052004102198,1.42251292151165,0.00302572198389398,0.337005555008031
IRF7,522.425266058308,206.136766704181,838.713765412435,4.06872475406602,2.02457668656171,0.00304501710003571,0.337005555008031
PMS2CL,172.859317696348,268.608535731649,77.1100996610472,0.287072409858499,-1.80051341315112,0.00305819163249573,0.337005555008031
HSF2,540.766195138082,754.938254320663,326.594135955501,0.432610394408201,-1.20885976527631,0.00311067332136321,0.337005555008031
LOC100507280,122.548055304197,67.5266847803344,177.569425828059,2.62961859308947,1.39485356234587,0.00311409422134262,0.337005555008031
GGH,379.220594829138,226.691978605468,531.749211052808,2.34569045770366,1.23001264482419,0.00312029906442276,0.337005555008031
ZNF703,961.07789962287,1349.09843156011,573.057367685632,0.424770612936629,-1.23524413580068,0.00312324303613292,0.337005555008031
ADAM15,477.969749413634,669.026347011956,286.913151815312,0.428851797984848,-1.22144892560588,0.00312912810074694,0.337005555008031
ISG20,269.078810867384,134.629181412334,403.528440322435,2.99733264429896,1.58367920318736,0.00321091251135947,0.34080962766654
MEX3D,636.022089644828,898.693902168447,373.350277121209,0.415436530970508,-1.26730001126925,0.00321129391909857,0.34080962766654
LINC00338,172.234048269547,86.8642205101104,257.603876028983,2.96559244434825,1.56832034461716,0.00321227100696566,0.34080962766654
C7orf46,122.948925613473,176.540536928069,69.3573142988767,0.392869057190735,-1.34787955090196,0.00322680295142359,0.34080962766654
PIP5K1C,998.92865646709,1399.6923260212,598.164986912977,0.427354623435948,-1.22649436428628,0.00327703097862626,0.342089620220261
REM2,144.032553303993,83.6760251156156,204.38908149237,2.44262417114059,1.28843190366156,0.00328268924853883,0.342089620220261
LOC100505519,73.4488820604314,106.628466604817,40.2692975160453,0.377659913888567,-1.40484043555542,0.00328586288461121,0.342089620220261
LOC100127891,29.5812368356604,13.3853927863881,45.7770808849327,3.41992809740214,1.77396599335333,0.00335466901978982,0.347140094990485
EYS,155.91860917927,89.0216703012062,222.815548057333,2.50293605257499,1.32362143213233,0.00336612999762077,0.347140094990485
DSN1,241.91046057836,142.185385704796,341.635535451924,2.40274718641776,1.26468485816856,0.00340505863507762,0.349394791580355
PHF21B,197.197027240051,291.273932556331,103.12012192377,0.35403141303703,-1.49805071926243,0.00341995542232063,0.349394791580355
AKR1C1,359.2539402989,518.848335853119,199.659544744681,0.384812923060436,-1.37777084535804,0.00344939963379063,0.350584273097068
FAM70A,230.07640967871,135.258725046505,324.894094310915,2.40201949411551,1.26424785959877,0.00348345865050968,0.350584273097068
MKNK2,3089.94051166892,4353.62462066633,1826.2564026715,0.419479528391676,-1.25332768948679,0.00349835053998361,0.350584273097068
CD69,5.54670457063748,0.624222005184021,10.4691871360909,16.7715765371082,4.06794640426452,0.00350422392633045,0.350584273097068
DDO,78.0042024676618,40.7049163059062,115.303488629417,2.83266738009941,1.50216120628581,0.00352798410102378,0.350584273097068
